image,blur_sigma,psnr_before,psnr_after,ssim_before,ssim_after
kodim01,1.0,25.501757641957536,17.500272169187635,0.7580358069920975,0.671437889994464
kodim01,2.0,22.191316288724174,18.629374723768194,0.500731067557103,0.7123294031919594
kodim01,3.0,21.09508439327803,18.96375409876722,0.3913978452660058,0.7189105216866247
kodim01,4.0,20.507179536423443,18.99957106673156,0.3387484911713141,0.7145109904092588
kodim01,5.0,20.127087335819386,18.939494609810602,0.31125884603466186,0.708694814774882
kodim05,1.0,25.394456023222403,17.84166517461187,0.8341924275101812,0.7042872381396211
kodim05,2.0,21.680203944135638,19.045831142915702,0.5943400471498907,0.7516174080396082
kodim05,3.0,20.260425489823813,19.50360905748678,0.460063084503415,0.7636243617234585
kodim05,4.0,19.403550880785012,19.536189596875367,0.38367422172226046,0.7574376334829038
kodim05,5.0,18.797135023137113,19.374454914504135,0.33805909454356153,0.7466899266402204
kodim19,1.0,27.477020421396865,19.795995834393235,0.8422829283663223,0.7406849861911677
kodim19,2.0,23.855810605762947,20.866847208905508,0.679920535454816,0.7774891170470756
kodim19,3.0,22.63709294376469,21.250723013775925,0.6081830673425787,0.785606652469229
kodim19,4.0,21.939963781383035,21.293526383074294,0.570649235894257,0.7833720959057834
kodim19,5.0,21.44659030437399,21.19393108024656,0.5483396724686586,0.7786750462772368
