domain,degradation,image,level,deg_psnr,deg_ssim,rest_psnr,rest_ssim,a_psnr,a_ssim,a_lapvar,a_tenengrad,b_psnr,b_ssim,b_lapvar,b_tenengrad,a_plcc,a_srocc,b_plcc,b_srocc
medical,salt_pepper,cxr_github_01,1,22.345769077847834,0.5335473013663113,40.89714895301819,0.9624457575764688,20.550850509860634,0.4135112673741474,0.1638665689341492,0.33041751747502857,40.84324107272951,0.9648278613382908,0.0013348086857015511,0.033517009675030955,-0.9316913953397388,-0.8224974200206399,0.6550757117548752,0.5397316821465428
medical,salt_pepper,cxr_github_01,2,18.273756088554617,0.23378654055087486,37.45884624904339,0.9254978000906032,17.088400411481544,0.2111169494600721,0.39099397606818886,0.5684654584448643,37.5364631471059,0.928256351677457,0.0009628033358683604,0.027782656118732953,-0.9316913953397388,-0.8224974200206399,0.6550757117548752,0.5397316821465428
medical,salt_pepper,cxr_github_01,3,15.346809907397958,0.09422177647212879,36.899799557657914,0.9234711412052463,14.33985838545069,0.10426411978095876,0.7550740795152378,0.9537316612127223,36.82639313175643,0.9254181340660159,0.001131064228055005,0.027513612738269615,-0.9316913953397388,-0.8224974200206399,0.6550757117548752,0.5397316821465428
medical,gaussian_noise,cxr_github_01,1,27.951941960161598,0.5129230610138036,36.68344508587727,0.8917845636597167,16.463795897591062,0.11854040858060619,0.4516049306440178,0.6624482846504289,35.647286335500525,0.873967787957253,0.003511196802214453,0.03724539497218611,-0.8878346661258636,-0.9050567595459236,-0.924012463486716,-0.8596491228070176
medical,gaussian_noise,cxr_github_01,2,21.988271572321416,0.22649769406878426,33.45721932463785,0.8032751893630005,11.728527317319147,0.04414889907091186,1.3702103318788776,1.6954288199929894,32.3656833246391,0.753716028190163,0.006930586060588174,0.037489601346865686,-0.8878346661258636,-0.9050567595459236,-0.924012463486716,-0.8596491228070176
medical,gaussian_noise,cxr_github_01,3,18.59854724483123,0.1253385904996206,31.44051264156689,0.7236585766244854,9.601972040099776,0.02657859327876319,2.2157933588999708,2.63474298737779,30.208636114130393,0.6480295623168473,0.012194902843634826,0.040475489983976425,-0.8878346661258636,-0.9050567595459236,-0.924012463486716,-0.8596491228070176
medical,blur,cxr_github_01,1,35.335080691223794,0.9246482496627827,37.703960378713816,0.9415393586407377,35.04666204961594,0.927643007177706,0.0007543746915119083,0.03879732594076294,37.31403417531055,0.9410947616592794,0.00031778643160979036,0.030766550200178322,0.6613183282382217,0.7440660474716203,0.7795265853578605,0.8699690402476781
medical,blur,cxr_github_01,2,32.29470186366188,0.8804893965216627,35.049618084427124,0.9110385393389668,34.76570969920499,0.9032636054722899,0.00041811965481993655,0.01586690964624121,34.709471206138716,0.9109495662307098,0.0001423535789112365,0.023839601013031224,0.6613183282382217,0.7440660474716203,0.7795265853578605,0.8699690402476781
medical,blur,cxr_github_01,3,29.951405554662884,0.8402383847105681,32.207765541469115,0.8707549290866419,31.123470386934624,0.8487264834114777,0.00036960477442354433,0.00589929721924109,32.04545612549147,0.8699394369880094,4.1747216226948285e-05,0.01468166524622951,0.6613183282382217,0.7440660474716203,0.7795265853578605,0.8699690402476781
medical,salt_pepper,cxr_github_02,1,22.21039912940244,0.5850576886926961,38.226277541376554,0.9557111472027274,19.913177278281058,0.4510372995994886,0.1801728887277999,0.42040900515993207,38.08248921751765,0.9582317494104832,0.0022481282542409684,0.04536397412844973,-0.9316913953397388,-0.8224974200206399,0.6550757117548752,0.5397316821465428
