domain,degradation,n,a_psnr,b_psnr,delta_psnr,a_ssim,b_ssim,delta_ssim,a_plcc,b_plcc
medical,blur,18,33.19909601812728,33.951125938021015,0.7520299198937366,0.88443018327948,0.8983727583605591,0.0139425750810791,0.6613183282382217,0.7795265853578605
medical,gaussian_noise,18,12.536284011983854,32.30885905403143,19.772575042047578,0.07329723267785299,0.7546596882912926,0.6813624556134397,-0.8878346661258636,-0.9240124634867158
medical,salt_pepper,18,17.331154337294997,36.22887538243285,18.89772104513785,0.25623630135252556,0.9392967195069287,0.6830604181544031,-0.9316913953397388,0.6550757117548752
satellite,blur,18,26.274627342902424,27.421823566276927,1.1471962233745039,0.690631199970954,0.7113056424797192,0.020674442508765156,0.49124057865686616,0.5017280884463248
satellite,gaussian_noise,18,12.51082953660804,28.40548171566043,15.894652179052388,0.23477845760036523,0.7793889636016326,0.5446105060012674,-0.441876734194712,0.5983332292404979
satellite,salt_pepper,18,14.882948182798394,29.5653119938276,14.682363811029205,0.38643613467785404,0.800111780180875,0.413675645503021,-0.7636601942205855,0.4255377046634248
